xref_system	xref_id	cif_id
biz	hershel_bultron@bultron.org	1
biz	florinda_mackedanz@mackedanz.org	2
biz	robt_hankison@cox.net	3
biz	jmastro@aol.com	4
biz	jhailstone@yahoo.com	5
biz	awrinkle@wrinkle.org	6
biz	vicki@gmail.com	7
biz	josefa.opitz@opitz.org	8
biz	shannan@cox.net	9
biz	jaime_wasurick@hotmail.com	10
biz	buck_kotow@aol.com	11
biz	hassie_sarkin@aol.com	12
biz	avery.demus@aol.com	13
biz	jose.kylish@aol.com	14
biz	vanna_pickle@aol.com	15
biz	irene.benauides@gmail.com	16
biz	cnicks@nicks.org	17
biz	antonio.unruh@hotmail.com	18
biz	anjelica@lovero.org	19
biz	silva.riviere@riviere.org	20
biz	paola.perkins@aol.com	21
biz	darci@cox.net	22
biz	myra_palenik@palenik.com	23
biz	mzufall@gmail.com	24
biz	alberto_stenquist@stenquist.org	25
biz	davida_zeng@yahoo.com	26
biz	ablackmon@gmail.com	27
biz	mozelle_hermon@cox.net	28
biz	rwetherby@wetherby.org	29
biz	danilo_pride@hotmail.com	30
biz	eyandow@cox.net	31
biz	marya@cox.net	32
biz	hbresser@aol.com	33
biz	freeman@yahoo.com	34
biz	long.shintaku@shintaku.org	35
biz	esteban@cox.net	36
biz	jhatherly@hatherly.org	37
biz	mbrzozowski@aol.com	38
biz	noemi_ill@ill.com	39
biz	jboerboom@boerboom.com	40
biz	rutha@eisert.com	41
biz	frank@yahoo.com	42
biz	llafoy@aol.com	43
biz	tlembke@lembke.org	44
biz	candra@hotmail.com	45
biz	kdishong@gmail.com	46
biz	mpresnal@yahoo.com	47
biz	vallie@yahoo.com	48
biz	truman.mondale@aol.com	49
biz	nmassanet@yahoo.com	50
biz	fstadel@gmail.com	51
biz	franchesca_lamme@yahoo.com	52
biz	shasta_canonico@aol.com	53
biz	louis@zarling.com	54
biz	nydia.ancar@ancar.com	55
biz	dmcloud@cox.net	56
biz	ruby@sensibaugh.com	57
biz	providencia.marien@marien.com	58
biz	abeliles@gmail.com	59
biz	lhubbell@yahoo.com	60
biz	precious.dubray@dubray.com	61
biz	isifford@sifford.org	62
biz	psugai@gmail.com	63
biz	demetra_peth@aol.com	64
biz	matt@gmail.com	65
biz	mhair@cox.net	66
biz	lstalma@stalma.org	67
biz	ronnie_kettelle@aol.com	68
biz	rosalyn.mcspedon@mcspedon.org	69
biz	lacresha@hotmail.com	70
biz	shelba.kast@yahoo.com	71
biz	rlehn@yahoo.com	72
biz	darell_mcalarney@mcalarney.com	73
biz	bnelton@gmail.com	74
biz	lavelle.lillywhite@hotmail.com	75
biz	bgeigel@gmail.com	76
biz	brinda.mrkvicka@gmail.com	77
biz	mdunning@gmail.com	78
biz	lourdes_bauswell@aol.com	79
biz	tshadle@shadle.com	80
biz	chi@gmail.com	81
biz	dorcas_diebold@diebold.com	82
biz	bdewer@gmail.com	83
biz	cordell_zinda@cox.net	84
biz	bev.dermo@dermo.com	85
biz	rkratt@yahoo.com	86
biz	william@gmail.com	87
biz	lon.tibbles@cox.net	88
biz	cscotts@aol.com	89
biz	monte@cox.net	90
biz	lazaro@gmail.com	91
biz	tuyet.abramovitz@abramovitz.com	92
biz	adosal@hotmail.com	93
biz	rodney_lockamy@aol.com	94
biz	boris.latif@latif.com	95
biz	terrilyn_waska@hotmail.com	96
biz	bkazar@hotmail.com	97
biz	meghann@cox.net	98
biz	willie@aol.com	99
biz	blossom_kraatz@kraatz.org	100
biz	gianna@aol.com	101
biz	chandra@gmail.com	102
biz	louvenia_abney@hotmail.com	103
biz	toshia_lippoldt@aol.com	104
biz	armanda.mcduffie@hotmail.com	105
biz	harris@cox.net	106
biz	glenn.robinault@cox.net	107
biz	vvandeberg@gmail.com	108
biz	tanesha_tesseneer@hotmail.com	109
biz	angelyn_wieand@wieand.com	110
biz	shawnee@yahoo.com	111
biz	aron_leuthold@leuthold.com	112
biz	renato_airhart@hotmail.com	113
biz	erieg@hotmail.com	114
biz	gussie_diflorio@cox.net	115
biz	dmakley@yahoo.com	116
biz	kristal@hotmail.com	117
biz	kkaper@aol.com	118
biz	edorio@cox.net	119
biz	avery.masso@hotmail.com	120
biz	brunilda_coin@aol.com	121
biz	tawanna_kuamoo@gmail.com	122
biz	azalee.aja@cox.net	123
biz	leoma.rabago@hotmail.com	124
biz	dion_lamastus@lamastus.com	125
biz	elfrieda_hinsch@hinsch.org	126
biz	cdoscher@doscher.org	127
biz	king@cox.net	128
biz	tcastillanos@castillanos.com	129
biz	jacquline@cox.net	130
biz	sabine@gmail.com	131
biz	sheldon@isachsen.org	132
biz	tom.loeza@gmail.com	133
biz	marva@gmail.com	134
biz	francoise.rautenstrauch@rautenstrauch.com	135
biz	kdrizin@aol.com	136
biz	dolores@yahoo.com	137
biz	beata_rubarts@aol.com	138
biz	chuck@gmail.com	139
biz	gaynell@hotmail.com	140
biz	queenie.kramarczyk@kramarczyk.org	141
biz	arlen.romack@yahoo.com	142
biz	ckohlman@hotmail.com	143
biz	mabel_elmquist@elmquist.com	144
biz	xenia@aol.com	145
biz	jpedder@pedder.com	146
biz	hana.meisel@yahoo.com	147
biz	ellen.fajen@aol.com	148
biz	ailene@yahoo.com	149
